names	vc	vc1-9	givenName	blockAm	colClust	congestion	pointAmVert	prtAllSizeN	quadBig	quadSmall	rosen	salObjNum	singleSizeDom	symmetry	whiteSpace
http___www.emi.it.png	0.000131539892226973	5.09611492189395	8996222539.png	15	20	0.81628	35	11	0.071208	20.5243	4.8531	6	0.28444	3.0568	0.26806
http___www.enzodelfinoeditore.it.png	0.0863627756128509	5.22314706639801	9386222539.png	15	15	0.96523	29	10	0.058492	25.3181	5.3427	2	0.42337	5.083	0.12733
http___www.eremonedizioni.it.png	-0.224138926383819	4.76572932505204	6396222539.png	11	8	0.8593	33	8	0.072479	19.8835	4.5961	8	0.52137	2.5833	0.38512
http___www.erga.it.png	-1.56392905644811	2.79200817882075	5016222539.png	8	10	0.54542	18	12	0.091553	9.9106	2.0297	3	0.2089	1.7017	0.68739
http___www.erickson.it.png	0.504578626763635	5.83924465555238	9176222540.png	18	24	0.78999	36	11	0.036875	28.2707	5.1222	5	0.41744	3.9237	0.23113
http___www.etaslab.it.png	-0.396754690068816	4.51143921250912	7806222541.png	19	10	0.74781	35	9	0.054677	17.3747	3.4355	5	0.28906	4.4262	0.51085
http___www.fabbri.rcslibri.it.png	-0.205072611596527	4.79381699925709	4716222541.png	16	18	0.73738	29	10	0.048319	18.8828	3.8831	6	0.20912	4.0166	0.47087
http___www.fanucci.it.png	-0.550465026983042	4.28499976087098	9526222541.png	10	16	0.77452	24	9	0.083923	18.3576	4.3336	5	0.26949	2.6352	0.30905
http___www.faraeditore.it.png	-0.0985780853455904	4.95070015110511	4136222542.png	10	14	0.88691	21	7	0.068665	22.6784	5.094	10	0.31384	2.4122	0.38149
http___www.faustedizioni.it.png	-0.228877113646243	4.75874923153978	7786222542.png	6	21	0.60695	25	5	0.035604	21.1627	3.9323	5	0.44632	2.8618	0.26563
http___www.feltrinelli.it.png	0.908621948875593	6.43446388500561	3246222542.png	11	25	0.73915	36	11	0.035604	33.7346	7.1676	8	0.43392	2.6615	0.21043
http___www.fga.it.png	-0.32910949559681	4.61109120111119	1276222542.png	13	16	0.8354	30	9	0.086466	18.8459	4.0456	8	0.34274	4.7692	0.28983
http___www.forme-libere.it.png	-0.314763465916092	4.63222515448934	4816222542.png	15	14	0.83663	44	10	0.092824	17.9036	3.2411	6	0.34547	4.2071	0.24657
http___www.fuoco-edizioni.it.png	0.468904840113792	5.78669156869424	6496222542.png	12	23	0.76823	31	9	0.041962	30.4985	6.464	3	0.32257	3.0279	0.41119
http___www.fustaeditore.it.png	1.06177131734702	6.66007694208159	9746222543.png	13	21	0.82688	37	6	0.015259	34.125	6.8612	8	0.77269	2.9459	0.090846
http___www.gaffi.it.png	-0.532282817337689	4.31178500943863	2776222543.png	11	6	0.97771	27	9	0.078837	18.0219	3.0551	7	0.31847	2.8889	0.47347
http___www.gamberorosso.it.png	-0.659101889200227	4.12496061189772	3676222543.png	11	17	0.59631	21	7	0.073751	19.4041	4.9718	3	0.46821	2.1424	0.33002
http___www.gangemieditore.it.png	0.481596382553283	5.80538820268864	7246222544.png	12	13	0.88842	39	8	0.04069	27.7621	6.1516	4	0.54388	6.5946	0.15308
http___www.garamond.it.png	-1.64393185875087	2.67415149431514	1126222544.png	7	5	0.86395	16	6	0.12843	9.0218	2.2232	3	0.13226	1.0852	0.80691
http___www.gianninieditore.it.png	-0.187392531602107	4.81986253203794	4716222544.png	14	12	0.75029	40	11	0.05722	20.2802	3.3835	6	0.24498	3.5499	0.32111
http___www.giunti.it.png	0.0648920286943392	5.19151728627983	9486222544.png	11	19	0.76237	29	9	0.045776	23.7948	4.4655	7	0.33121	2.3579	0.28805
http___www.giuntina.it.png	1.06030260775598	6.65791330233499	2466222544.png	29	19	0.88781	46	8	0.02416	32.4046	7.1265	4	0.42244	3.8839	0.20542
http___www.golemlibri.it.png	-0.586155147572554	4.23242261155605	6556222544.png	6	9	0.73295	34	4	0.066121	14.9409	3.211	6	0.6683	2.2974	0.28056
http___www.grafill.it.png	0.758454149676945	6.21324314743594	2266222545.png	15	24	0.76557	39	6	0.029246	29.705	6.6929	4	0.63276	4.7091	0.19037
http___www.graphe.it.png	0.546322935620034	5.90074057441001	6126222545.png	18	13	0.8623	52	10	0.021617	22.8462	5.0577	2	0.32908	3.499	0.39589
http___www.grecoegrecoeditori.it.png	-1.00444878857475	3.61621042574117	5916222545.png	8	16	0.72633	25	7	0.097911	12.2592	1.803	8	0.42373	1.5608	0.21391
http___www.guaraldi.it.png	-0.293939470190066	4.66290216859118	7596222545.png	11	13	0.85861	25	10	0.062307	21.1042	5.0559	2	0.29272	1.4644	0.42463
http___www.guida.it.png	0.869672466859276	6.37708518474106	4996222546.png	34	16	0.83773	57	11	0.036875	29.4978	5.9259	4	0.25859	4.7061	0.32815
http___www.hedison.it.png	1.02071369831898	6.59959262511945	2236222546.png	21	19	0.88403	38	8	0.01653	29.1786	7.0787	9	0.40113	3.1681	0.27294
http___www.ideabooks.it.png	0.00332534118034939	5.10081989246939	536222546.png	21	12	0.87198	41	12	0.063578	20.7011	4.7535	4	0.22253	4.1134	0.49822
http___www.ilcerchio.it.png	0.573996733820821	5.94150842265711	2066222546.png	11	15	0.76833	44	10	0.039419	27.1861	6.1727	7	0.5166	3.1153	0.31045
http___www.ilfiloonline.it.png	-0.121621451459058	4.91675365608479	1186222546.png	10	14	0.79016	30	7	0.066121	23.7872	4.8534	6	0.31555	2.0187	0.40808
http___www.ilgrappolo.it.png	-0.264736727938292	4.7059223913984	2026222547.png	28	6	0.75449	38	11	0.05722	20.5599	4.5803	4	0.21174	2.0259	0.2932
http___www.ilisso.it.png	-0.54318202728714	4.29572876251478	76222547.png	6	19	0.62754	16	5	0.06485	19.942	4.7414	6	0.72423	2.0126	0.24975
http___www.indigo-editore.it.png	0.119205684149289	5.27152982547909	5086222547.png	5	23	0.77856	35	7	0.063578	23.3154	4.6188	6	0.5565	1.897	0.33098
http___www.infomedia.it.png	0.123575861142383	5.27796778210416	9036222547.png	16	13	0.79805	41	12	0.063578	24.6531	5.2575	5	0.38457	3.9886	0.33368
http___www.instarlibri.it.png	-1.2897874447316	3.19586180034343	46222548.png	6	8	0.69263	15	5	0.083923	12.4842	2.758	4	0.36885	1.6384	0.58085
http___www.jouvence.it.png	-0.0324849254036496	5.04806574924726	9956222548.png	13	17	0.82036	32	9	0.067393	22.5614	5.4128	4	0.33313	2.6486	0.45851
http___www.kappavu.it.png	-1.28645705291845	3.20076799020059	9126222548.png	6	7	0.78507	17	7	0.10045	11.9069	1.908	8	0.30187	1.8024	0.51618
http___www.keltia.it.png	0.202200299843138	5.39379392068513	7246222549.png	18	11	0.9026	49	13	0.077566	23.4146	4.9271	6	0.19898	5.6167	0.42337
http___www.kimerik.it.png	-0.158701395513251	4.86212907866883	2156222549.png	9	16	0.77615	24	7	0.043233	23.084	4.7156	3	0.59329	2.2462	0.35953
http___www.kioneditrice.it.png	-0.272213067036679	4.69490857046946	3586222550.png	9	9	0.91027	28	7	0.049591	18.9234	4.3299	3	0.38943	2.564	0.34007
http___www.kogoiedizioni.it.png	-0.739302878515182	4.00681196681701	8926222550.png	14	9	0.69566	40	13	0.10173	13.8639	3.2041	8	0.21283	3.2012	0.4403
http___www.lampidistampa.it.png	0.1060675545176	5.2521752984572	9986222550.png	11	20	0.82067	28	10	0.055949	23.8953	5.2438	6	0.36274	2.1262	0.26191
http___www.laruffaeditore.it.png	-0.465132448860202	4.41070804168613	9166222550.png	9	17	0.6144	25	8	0.075022	19.8873	4.2909	9	0.41334	2.6315	0.29754
http___www.laterza.it.png	-0.697694233282786	4.06810803186361	7286222550.png	14	12	0.79726	39	8	0.11444	18.3907	3.1362	4	0.45934	2.1601	0.30106
http___www.lavieri.it.png	-0.0400214756904289	5.03696322778747	1726222550.png	11	14	0.87258	27	8	0.072479	23.6562	5.5796	7	0.2723	3.0957	0.46736
http___www.lededizioni.it.png	-0.777158636858804	3.95104449318602	9906222551.png	6	11	0.80923	21	8	0.082652	16.1985	3.7031	5	0.20771	1.0535	0.57942
http___www.leg.it.png	-0.655570931108187	4.13016226736325	7646222551.png	8	12	0.7603	21	7	0.080109	17.7816	4.3526	6	0.28803	1.7705	0.48182
http___www.leoneverde.it.png	0.157927113030769	5.32857256768231	3326222551.png	5	15	0.85155	31	5	0.061035	26.7181	5.825	5	0.65531	2.4522	0.14857
http___www.liguori.it.png	0.427935282469112	5.72633697997133	6026222551.png	26	12	0.90767	46	12	0.053406	24.1992	4.9998	8	0.22428	3.4892	0.34861
http___www.loescher.it.png	-0.276535056482189	4.68854160166519	8956222551.png	15	4	0.90479	26	10	0.06485	24.1623	5.2228	4	0.19236	2.9362	0.54537
http___www.logisma.it.png	0.416337286363928	5.70925131136321	9566222552.png	13	22	0.87883	41	11	0.067393	26.4587	5.7051	4	0.2535	2.3629	0.38954
http___www.logus.it.png	-1.19823526465922	3.33073253101805	2566222552.png	7	11	0.63942	23	6	0.087738	11.8713	2.2914	5	0.18967	1.1717	0.64363
http___www.longanesi.it.png	-0.107567162787005	4.93745782916743	1246222552.png	8	12	0.77301	37	6	0.078837	25.5369	5.0302	5	0.79118	1.0193	0.18978
http___www.longo-editore.it.png	0.647966929679007	6.05047813103164	7276222552.png	17	9	0.84947	41	12	0.043233	31.3059	7.6288	5	0.31495	4.5237	0.32083
http___www.macroedizioni.it.png	-0.345010413839598	4.58766665283602	5306222552.png	25	11	0.88978	34	8	0.077566	17.9799	4.5382	3	0.26976	2.9732	0.26653
